   long      lat         de        dn       dup 
  -73.3400  -41.7700   -0.0008   -0.0239    0.0403
  -72.6600  -41.6700   -0.0033   -0.0201    0.0156
  -72.7700  -36.7400   -2.5120   -0.4962   -0.2986
  -72.5900  -39.5100   -0.0372    0.0232   -0.0347
  -70.1000  -33.8300   -0.4361   -0.1090    0.0216
  -72.3000  -36.7400   -1.8713    0.0251   -0.4553
  -73.2100  -36.7700   -3.2528   -0.7945    0.7549
  -73.3900  -39.7500   -0.0108   -0.0425   -0.0059
  -72.8000  -36.1400   -3.5823   -0.6336    0.2395
  -70.8200  -33.6800   -0.6340   -0.2041   -0.0526
  -73.1900  -37.1500   -3.1790   -0.5926    0.3420
  -71.0900  -34.7200   -1.9113    0.1560   -0.1694
  -72.4400  -42.0300   -0.0070   -0.0167    0.0265
  -72.6700  -39.3000   -0.5831    0.1824    0.0008
  -74.0300  -41.8100   -0.0107   -0.0128    0.0339
  -73.1900  -36.7500   -3.2133   -0.7931    0.6852
  -73.6600  -37.7200   -3.6108   -0.7240    1.7979
  -73.3200  -37.9400   -2.0341   -0.1975    0.1545
  -73.6400  -37.5800   -3.4369   -0.4181    1.8696
  -72.4000  -40.6200    0.0213   -0.0165    0.0873
  -73.5800  -37.1900   -4.6968   -0.5142    1.6032
  -73.7200  -40.9500   -0.0082   -0.0292   -0.0226
  -71.7100  -38.4700   -0.3913    0.1724    0.0220
  -71.8800  -33.9600   -1.5427   -0.3037    0.1580
  -71.3500  -37.9000   -0.5429    0.1613    0.0063
  -72.6900  -37.6100   -1.8381    0.0897   -0.5962
  -73.0300  -37.8300   -1.9093   -0.0366   -0.4012
  -73.1400  -40.5900    0.0036   -0.0254   -0.0106
  -72.3100  -39.6800   -0.0606    0.0266    0.0593
  -71.4700  -39.5800   -0.0791    0.0621    0.0233
  -71.0700  -38.6000   -0.2546    0.1107    0.0030
  -73.4100  -38.7800   -0.2198   -0.2161    0.1501
  -72.3900  -38.3400   -0.7952    0.1986   -0.1612
  -73.7200  -40.5500    0.0027   -0.0308   -0.0779
  -71.9900  -39.2700   -0.1350    0.0893    0.0082
  -72.3100  -41.3800    0.0051   -0.0133    0.0463
  -72.9300  -37.1800   -2.6500   -0.3348   -0.4732
  -71.3200  -36.6600   -1.0105    0.2144   -0.0578
  -72.3600  -36.8400   -1.9442   -0.0105   -0.5026
  -72.8500  -37.2100   -2.4698   -0.1997   -0.5979
  -71.7100  -38.9700   -0.1995    0.1211    0.0029
  -73.2400  -38.5300   -0.5815    0.0120    0.1218
  -72.1500  -34.8300   -5.2479   -0.5661   -0.3258
  -71.4930  -16.4660    0.0020   -0.0030   -0.0090
  -47.8780  -15.9470    0.0010   -0.0010   -0.0010
  -90.3040   -0.7430         0         0         0
  -52.8060    5.2520         0         0   -0.0010
  -57.9320  -34.9070   -0.0180   -0.0070   -0.0020
  -67.7510  -53.7850         0         0    0.0010
  -70.6690  -33.1500   -0.2500   -0.1430   -0.0240
  -66.5970  -27.3230   -0.0010   -0.0040    0.0050
  -59.8810  -36.7670   -0.0240    0.0060    0.0130
  -65.7740  -28.4710   -0.0080   -0.0100   -0.0050
  -71.3230  -42.9170   -0.0050   -0.0040    0.0040
  -68.0570  -38.9510   -0.0780    0.0340    0.0110
  -68.8760  -32.8950   -0.1090   -0.0480    0.0150
  -68.1500  -33.2550   -0.1060   -0.0340    0.0210
  -68.3350  -34.6150   -0.2110   -0.0220    0.0130
  -65.1070  -43.2990   -0.0060    0.0060   -0.0120
  -66.3140  -33.1560   -0.0600   -0.0220    0.0050
  -64.2800  -36.6210   -0.0490    0.0010    0.0210
  -64.2570  -27.7890   -0.0060   -0.0060   -0.0030
  -64.1940  -31.4350   -0.0250   -0.0090    0.0150
  -60.6280  -32.9590   -0.0150   -0.0070    0.0020
  -68.5770  -31.5410   -0.0290   -0.0150    0.0060
  -62.2690  -38.7010   -0.0230    0.0030    0.0090
  -44.9850  -22.6870   -0.0010    0.0010    0.0010
  -56.0700  -15.5550   -0.0090   -0.0030   -0.0110
  -49.1220   -5.3620    0.0040   -0.0060    0.0310
  -54.5410  -20.4410   -0.0050   -0.0030   -0.0010
  -60.0550   -3.0230    0.0010   -0.0020   -0.0040
  -51.1200  -30.0740   -0.0050         0    0.0100
  -63.8960   -8.7090   -0.0010    0.0020    0.0080
  -38.4320  -12.9390    0.0040    0.0040   -0.0100
  -48.3310  -10.1710   -0.0020    0.0020    0.0060
  -49.2310  -25.4480   -0.0020         0    0.0010
  -73.0250  -36.8440   -2.8920   -0.6900   -0.0350
  -71.5320  -37.3390   -0.7610    0.1710   -0.0160
  -68.2330  -31.6020   -0.0350   -0.0170    0.0110
  -70.3380  -27.3850   -0.0020    0.0030         0
  -65.5950  -38.0030   -0.0590    0.0170    0.0070
  -65.2300  -26.8430   -0.0020   -0.0040    0.0060
  -71.4870  -30.2630    0.0030    0.0100   -0.0020
  -70.9990  -31.1880   -0.0070    0.0070   -0.0010
  -71.4580  -31.3980   -0.0020    0.0090   -0.0030
  -72.4120  -35.3310   -4.6960   -0.3850   -0.3670
  -71.4100  -29.1020    0.0010    0.0080    0.0070
  -70.6620  -33.4570   -0.4300   -0.1990   -0.0300
  -71.6630  -31.1470   -0.0020    0.0140   -0.0090
  -70.0940  -29.9770   -0.0010    0.0040   -0.0020
  -71.2460  -29.9080         0    0.0080   -0.0030
  -70.8210  -35.8100   -1.0470    0.1260    0.0050
  -71.2040  -30.6040    0.0040    0.0100   -0.0040
  -70.6890  -30.8390   -0.0030    0.0010   -0.0030
  -71.6350  -30.6750   -0.0010    0.0120   -0.0070
  -70.1300  -32.8350   -0.1330   -0.0890    0.0080
  -71.6130  -33.6540   -0.7120   -0.3450   -0.1600
  -71.0150  -32.9760   -0.1690   -0.1130   -0.0380
  -70.7390  -29.2550    0.0010    0.0060   -0.0030
  -71.7330  -35.5950   -2.3400    0.2770   -0.4510
  -70.8060  -30.1700   -0.0040    0.0090         0
  -70.7640  -28.5720   -0.0010    0.0040    0.0050
  -71.6350  -33.0280   -0.1040   -0.0270   -0.0520
  -70.2490  -33.3540   -0.2920   -0.1430    0.0010
  -71.9620  -35.3070   -3.3470    0.1020   -0.7280
  -73.2720  -37.2450   -3.3790   -0.5910    0.8080
  -72.2050  -36.6390   -1.8960    0.0740   -0.3880
  -72.8120  -36.2360   -3.4880   -0.6680    0.4120
  -71.6250  -37.3360   -0.9210    0.1800   -0.0530
  -72.4150  -35.3180   -4.8580   -0.4380   -0.2850
  -72.4910  -35.4120   -4.6280   -0.3410   -0.0590
  -72.5190  -35.4930   -4.3080   -0.3350    0.1580
  -72.6260  -35.5860   -4.2340   -0.5220    0.5680
  -72.6060  -35.8280   -3.4260   -0.5250    0.2280
  -72.6390  -35.8430   -3.5050   -0.6070    0.4480
  -72.7440  -35.9490   -3.7300   -0.8050    0.5550
  -71.3470  -35.6770   -1.7430    0.2490   -0.1020
  -72.2550  -35.4640   -3.6780   -0.0580   -0.5870
  -72.0860  -35.5580   -3.1160    0.1030   -0.7160
  -71.0690  -35.7090   -1.3820    0.1910    0.0990
  -70.8340  -35.8150   -1.1240    0.1990    0.1020
  -70.3990  -35.9910   -0.7130    0.1640    0.0660
  -72.6970  -37.2550   -2.3000   -0.0110   -0.5070
  -71.3440  -37.3690   -0.7650    0.1690    0.1200
  -73.5690  -37.1920   -4.8790   -0.4340    1.7480
  -73.1420  -37.0590   -2.7170   -0.6080    0.4380
  -71.9550  -37.4110   -1.1720    0.1680   -0.0370
  -72.4370  -36.4100   -2.3360   -0.2120   -0.2990
  -72.2690  -35.1720   -4.7770   -0.5050   -0.3730
  -72.9420  -37.2850   -2.6630   -0.2040   -0.2960
  -72.1250  -36.0850   -2.3950    0.1450   -0.5770
  -73.4360  -37.2560   -3.9220   -0.5040    1.4520
  -72.2310  -37.3930   -1.5750    0.2090   -0.2330
  -72.3840  -37.2160   -1.9190    0.1230   -0.3060
  -73.1930  -36.7730   -3.2960   -0.7890    0.6930 


