"Station";"Net";"Municipality";"Lat (N)";"Lon (E)";"Elev (m)";"EC8/NTC topographic category";"NTC08 soil category";"NTC18 soil category";"Reference"
"ACATE";"IV";"Acate";"37.0239";"14.5006";"210";"T1";"A*";"missing";"none"
"ACER";"IV";"Acerenza";"40.7867";"15.9427";"690";"T2*";"B*";"missing";"none"
"ACOM";"OX";"Acomizza";"46.5479";"13.5149";"1715";"T3*";"A*";"missing";"none"
"ACQ";"IT";"Acqui_Terme";"44.6826";"8.4624";"215";"T1";"C**";"missing";"none"
"AGOR";"OX";"Agordo";"46.2829";"12.0472";"631";"T1*";"B**";"missing";"none"
"ALB1";"XK";"Albi";"39.0237";"16.5973";"748";"missing";"A*";"missing";"none"
"AM01";"XO";"Amandola_torre_Podesta";"42.9805";"13.3587";"549";"T4**";"B*";"missing";"none"
"AM02";"XO";"Amandola_ITC";"42.9795";"13.3535";"516";"T3*";"B*";"missing";"none"
"AM03";"XO";"Amandola_ospedale";"42.9816";"13.3627";"511";"T4*";"B*";"missing";"none"
"AM04";"XO";"Amandola_versante_SE";"42.9833";"13.3650";"455";"T3*";"B*";"missing";"none"
"AM05";"XO";"Amandola_campo_sportivo";"42.9774";"13.3527";"464";"T1*";"B**";"missing";"none"
"AMAL";"ST";"Malcesine";"45.7989";"10.8399";"131";"T2*";"A*";"missing";"none"
"AMRC";"ST";"Marco";"45.8515";"11.0189";"201";"T1*";"B*";"missing";"none"
"AMUR";"IV";"Altamura";"40.9071";"16.6041";"443";"missing";"B*";"missing";"none"
"AND3";"IX";"Andretta";"40.9298";"15.3331";"905";"T1";"B**";"missing";"none"
"APEC";"IV";"Apecchio";"43.5584";"12.4199";"488";"T1";"B**";"missing";"none"
"APRC";"IV";"Apricena";"41.7573";"15.5430";"672";"T2*";"A*";"missing";"none"
"AQU";"MN";"LAquila";"42.3540";"13.4050";"710";"T1";"B**";"missing";"none"
"ARCI";"IV";"Arcidosso";"42.8519";"11.4754";"1080";"T1*";"B*";"missing";"none"
"ASOL";"IV";"Asolo";"45.8003";"11.9023";"181";"T2*";"B**";"missing";"none"
"ASQU";"IV";"Asqua";"43.7967";"11.7893";"860";"T2*";"B*";"missing";"none"
"ATBU";"IV";"Serra_di_Burano";"43.4757";"12.5482";"1000";"T3*";"B*";"missing";"none"
"ATCC";"IV";"Casa_Castalda";"43.1851";"12.6399";"557";"T2*";"B*";"missing";"none"
"ATFO";"IV";"Monte_Foce_Gubbio";"43.3666";"12.5715";"960";"T3";"B*";"missing";"none"
"ATLO";"IV";"Monte_Lovesco";"43.3151";"12.4072";"584";"T2**";"B*";"missing";"none"
"ATPC";"IV";"Poggio_Castellaccio";"43.4807";"12.4570";"810";"T4**";"B*";"missing";"none"
"ATPI";"IV";"Pietralunga";"43.4506";"12.4022";"694";"T1*";"B*";"missing";"none"
"ATTE";"IV";"Monte_Tezio";"43.1979";"12.3536";"929";"T3*";"A*";"missing";"none"
"ATVO";"IV";"Monte_Valentino";"43.3821";"12.4066";"638";"T2*";"B*";"missing";"none"
"AVG3";"IX";"Avigliano";"40.7619";"15.7251";"1213";"T2*";"B*";"missing";"none"
"AVL";"IT";"Avellino";"40.9228";"14.7870";"422";"T1";"C*";"missing";"none"
"BAD";"OX";"Bernadia";"46.2340";"13.2438";"590";"T2*";"B*";"missing";"none"
"BAG8";"IV";"Bagolino";"45.8228";"10.4664";"807";"T2*";"A*";"missing";"none"
"BALD";"OX";"Monte_Baldo";"45.6830";"10.8187";"1911";"T3*";"A*";"missing";"none"
"BARO";"IV";"Barbarano";"42.2479";"12.0512";"350";"T1*";"B*";"missing";"none"
"BDI";"IV";"Bagni_Lucca";"44.0623";"10.5969";"830";"T2*";"A**";"missing";"none"
"BEL3";"IX";"Bella";"40.7153";"15.6369";"758";"T1*";"B*";"missing";"none"
"BENI";"IX";"Benevento";"41.1298";"14.7716";"75";"T1";"C*";"missing";"none"
"BHB";"GU";"Bricherasio";"44.8352";"7.2633";"585";"T2*";"A*";"missing";"none"
"BIOG";"IV";"Campo_Reale";"41.1998";"15.1326";"623";"T1*";"B*";"missing";"none"
"BNI";"MN";"Bardonecchia";"45.0520";"6.6780";"1395";"T1";"C**";"missing";"none"
"BNO";"IT";"Breno";"45.9484";"10.2904";"441";"T1";"B**";"missing";"none"
"BOB";"IV";"Bobbio";"44.7679";"9.4478";"910";"T1*";"B*";"missing";"none"
"BOO";"OX";"Bordano";"46.3195";"13.0984";"444";"T2*";"B*";"missing";"none"
"BORM";"IV";"Bormio";"46.4694";"10.3764";"1235";"T1*";"A**";"missing";"none"
"BOTM";"IV";"Botticino_Mattina";"45.5416";"10.3213";"157";"T1";"C**";"missing";"none"
"BOTT";"IV";"Botticino";"45.5494";"10.3095";"200";"T2*";"A*";"missing";"none"
"BOZZ";"IV";"Bozzolo";"45.1071";"10.4820";"30";"T1";"C*";"missing";"none"
"BRIS";"IV";"Brisighella";"44.2245";"11.7665";"260";"T2*";"B*";"missing";"none"
"BRSN";"IV";"Barisano";"44.2841";"12.0802";"20";"T1";"C**";"missing";"none"
"BSC3";"IX";"Bisaccia";"41.0120";"15.3852";"980";"T2*";"B**";"missing";"none"
"BSSO";"IV";"Busso";"41.5461";"14.5938";"1010";"T2**";"A*";"missing";"none"
