#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
GR|A055|52.40486|9.822588|47.0|BGR Station GeneSys, Germany|2008-11-10T00:00:00|2014-08-21T00:00:00
GR|A803|52.09688226|13.41821484|52.0|BGR Station A803, Germany|2000-01-01T00:00:00|2018-05-30T00:00:00
GR|A807|52.09690725|13.41822442|52.0|BGR Station A807, Germany|2000-01-01T00:00:00|
GR|A816|52.09689728|13.41818973|52.0|BGR Station A816, Germany|2000-01-01T00:00:00|2012-09-19T00:00:00
GR|AHRW|50.541|7.076|-319.0|GRSN Station Ahrweiler|2009-02-01T00:00:00|
GR|ASSE|52.13|10.673|-308.0|Station Asse|2008-01-24T00:00:00|2015-06-08T00:00:00
GR|ASSE|52.128318|10.673773|193.0|BFS Station GRSN Station ASSE, Germany|2015-06-18T00:00:00|
GR|BBOS|52.96149|10.24777|101.1|BGR Station Brambostel, Germany|2016-07-13T00:00:00|2019-10-09T00:00:00
GR|BEDT|52.9359|10.432478|76.0|BGR Station Kapelle Boeddenstedt, Germany|2016-11-04T00:00:00|2020-03-04T00:00:00
GR|BFO|48.3301|8.3296|638.0|BGR Station GRSN Station Black Forest Observatory, Germany|1991-01-01T00:00:00|
GR|BKS1|52.99476|9.399817|60.0|BGR Station Bunkerstation Klein-Sehlingen, Germany|2013-07-17T00:00:00|2015-07-29T00:00:00
GR|BKSB|52.99476|9.399817|60.0|BGR Station Bunkerstation Klein-Sehlingen, Germany|2013-07-17T00:00:00|2015-11-19T00:00:00
GR|BRG|50.8733|13.9436|296.0|BGR Station GRSN Station Berggiesshuebel, Germany|1993-02-01T00:00:00|2015-06-01T00:00:00
GR|BRG|50.8733|13.9436|296.0|BGR Station GRSN Station Berggiesshuebel, Germany|2015-06-01T00:00:00|
GR|BRNL|52.4278|13.358|42.0|GRSN Station Berlin-Lankwitz|1991-07-01T00:00:00|2000-01-17T00:00:00
GR|BSEG|53.93595|10.3164|40.0|GRSN Station Bad Segeberg|1996-01-01T00:00:00|
GR|BUG|51.4412|7.2707|65.0|GRSN Station Bochum|1991-09-01T00:00:00|
GR|CLL|51.30803|13.00238|238.0|GRSN Station Collm|1993-04-01T00:00:00|
GR|CLNZ|52.94234|10.953575|32.0|GRSN Station Clenze|2007-12-26T00:00:00|2018-12-20T00:00:00
GR|CLZ|51.8429|10.3741|680.0|GRSN Station Clausthal-Zellerfeld|1991-02-01T00:00:00|
GR|DEEL|52.95723|9.3143|0.0|BGR Station Gasfeld, Germany|2013-08-27T00:00:00|
GR|DREG|50.663|6.233|390.0|GRSN Station Dreilaegerbach|2008-04-29T00:00:00|2009-09-30T00:00:00
GR|FAHL|52.90823|8.15365|36.0|BGR Station Forsthaus Ahlhorn, Germany|2014-07-17T00:00:00|
GR|FBRG|52.90554|10.198|71.0|BGR Station Fassberg, Germany|2017-09-13T00:00:00|
GR|FUR|48.1639|11.2768|565.0|GRSN Station Fuerstenfeldbruck|1991-03-01T00:00:00|
GR|GEA0|48.835994|13.700943|1021.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GEA1|48.83551|13.70295|1014.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GEA2|48.83781|13.70092|1066.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GEA3|48.83422|13.69901|1024.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GEB1|48.83811|13.7065|1025.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GEB2|48.8387|13.69765|1103.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GEB3|48.83618|13.69491|1063.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GEB4|48.83204|13.69785|1002.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GEB5|48.83382|13.70501|984.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GEC1|48.84045|13.70891|1044.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GEC2|48.844303|13.700627|1150.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GEC3|48.841561|13.690754|1147.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GEC4|48.83432|13.68669|1105.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GEC5|48.828793|13.694742|992.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GEC6|48.82599|13.70791|919.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GEC7|48.83471|13.713505|973.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GED1|48.8516|13.7138|1024.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GED2|48.8526|13.69518|963.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GED3|48.84568|13.68086|919.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GED4|48.837773|13.678704|1041.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GED5|48.82379|13.67969|1079.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GED6|48.81877|13.69562|1076.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GED7|48.819997|13.715016|933.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GED8|48.83234|13.72505|932.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GED9|48.84261|13.722265|976.0|BGR Station Geress-Array, Germany|1997-01-01T00:00:00|
GR|GOLD|52.92199|9.4255|38.0|GRSN Station Goldborn|2008-04-04T00:00:00|
GR|GOR1|52.9903|11.3075|-278.0|BGR Station Trebel, Germany|2009-11-11T00:00:00|
GR|GOR2|53.0661|11.3017|-284.0|BGR Station Laase, Germany|2013-11-25T00:00:00|
GR|GOR3|53.0332|11.4347|-280.0|BGR Station Gartow, Germany|2013-10-30T00:00:00|
GR|GOR5|52.9228|11.2217|-265.0|BGR Station Dangenstorf, Germany|2014-03-21T00:00:00|
GR|GOR6|53.004|11.1735|-285.0|BGR Station Seerau, Germany|2014-01-17T00:00:00|
GR|GRA1|49.690776|11.220436|499.5|Graefenberg Array Station Haidhof|1976-02-17T00:00:00|
GR|GRA2|49.654107|11.358088|512.0|Graefenberg Array Station Wildenfels|1976-02-17T00:00:00|
GR|GRA3|49.761076|11.31735|455.0|Graefenberg Array Station Leutzdorf|1976-02-17T00:00:00|
GR|GRA4|49.5643|11.43454|503.0|Graefenberg Array Station Stoeppach|1976-02-17T00:00:00|
GR|GRB1|49.39027|11.65059|494.0|Graefenberg Array Station Bruennthal|1978-04-04T00:00:00|
GR|GRB2|49.269795|11.668055|552.0|Graefenberg Array Station Reichertswinn|1978-04-04T00:00:00|
GR|GRB3|49.3426|11.80465|517.0|Graefenberg Array Station Eglhofen|1978-04-04T00:00:00|
GR|GRB4|49.467841|11.55948|507.0|Graefenberg Array Station Heldmannsberg|1978-04-04T00:00:00|
GR|GRB5|49.11106|11.675285|525.0|Graefenberg Array Station Vorderoedberg|1978-04-04T00:00:00|
GR|GRC1|48.99513|11.52001|512.0|Graefenberg Array Station Amtmannsdorf|1978-12-13T00:00:00|
GR|GRC2|48.86656|11.37416|445.0|Graefenberg Array Station Boehmfeld|1978-12-13T00:00:00|
