"Search Parameters"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
"Tsunami ID = 2439"																																	
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.44	95.241	244.53									29.98		5														
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.478	95.246	248.417									12.39		4														
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.452	95.242	245.774									30.4		4														
		"n"	"INDONESIA"	"ACEH"	"WEST COAST OF ACEH, SUMATRA"	5.452	95.243	245.743									15.77		4														
		"n"	"NEW ZEALAND"		"JACKSON BAY"	-43.9733	168.6161	8898.402	26	19	17	18	18				0.91		2	26													
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.553	95.315	254.5									5.48		4														
		"n"	"INDIA"	"ANDAMAN AND NICOBAR"	"GREAT NICOBAR IS., NICOBAR ISLANDS"	7	93.833	464.927											1														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.541	95.282	254.1									4.7		4														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.556	95.284	255.652									12		4														
		"n"	"NEW ZEALAND"		"KAIKOURA"	-42.4129	173.7028	9264.794									0.5		2														
		"n"	"NEW ZEALAND"		"KAINGAROA, CHATHAM ISLAND"	-43.733	-176.268	10092.977									0.3		2														
		"n"	"USA"	"CA"	"MONTEREY, CA"	36.605	-121.888	14113.731	27	11	0						0.1		2														
		"n"	"CHILE"	"COPIAPO"	"CALDERA"	-27.0644	-70.8247	17024.216	27	3	16	26	17				0.11		2														
		"n"	"CHILE"	"ELQUI"	"COQUIMBO"	-29.95	-71.3353	16766.427	27	1	53	24	54				0.18		2														
		"n"	"CHILE"	"VALDIVIA"	"CORRAL"	-39.8783	-73.4228	15814.408	27	1	49	24	50				0.15		2														
		"n"	"CHILE"	"CHILOE"	"PUNTA CORONA"	-41.783	-73.88	15623.046	27	1	45						0.03		2	20													
		"n"	"INDIA"	"ANDHRA PRADESH"	"VISAKHAPATNAM"	17.65	83.28	2097.079	26	3	35	2	36				1.46		2		"R"								1				
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.549	95.316	254.044									4.64		4														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.553	95.317	254.448									4.52		4														
		"n"	"INDONESIA"	"ACEH"	"CENTER OF BANDA ACEH, SUMATRA"	5.548	95.314	253.989									5.56		4														
		"n"	"SOUTH AFRICA"		"EAST LONDON"	-33.02	27.92	8179.422	26	12	28	11	29				0.64		2		"R"												
		"n"	"INDONESIA"	"ACEH"	"BANDA ACEH"	5.56988889	95.32963889	255.941									3.25		5														
		"n"	"INDONESIA"	"ACEH"	"BANDA ACEH"	5.56344444	95.31697222	255.571									5.2		5														
		"n"	"INDONESIA"	"ACEH"	"BANDA ACEH"	5.47838889	95.24544444	248.475									5.8		5														
		"n"	"INDONESIA"	"ACEH"	"BANDA ACEH"	5.60469444	95.38775	258.322									6.1		5														
		"n"	"THAILAND"	"PHANG NGA"	"NAM KHEM"	8.85111111	98.2675	667.836									7.5		5														
		"n"	"THAILAND"	"PHANG NGA"	"NAM KHEM"	8.85069444	98.27022222	667.914									8.4		5														
		"n"	"INDIA"	"ANDHRA PRADESH"	"VODAREVU"	15.7935	80.41338333	2183.007									2.69		5														
		"n"	"INDIA"	"PUDUCHERRY"	"PUTTUPATTNAM"	11.8603	79.81543333	2004.733									2.64		5														
