YYYY MM DD hh mm ss T HEIGHT
2004 01 01 00 00 00 1 3481.276
2004 01 01 00 15 00 1 3481.321
2004 01 01 00 30 00 1 3481.371
2004 01 01 00 45 00 1 3481.418
2004 01 01 01 00 00 1 3481.457
2004 01 01 01 15 00 1 3481.508
2004 01 01 01 30 00 1 3481.543
2004 01 01 01 45 00 1 3481.581
2004 01 01 02 00 00 1 3481.617
2004 01 01 02 15 00 1 3481.643
2004 01 01 02 30 00 1 3481.664
2004 01 01 02 45 00 1 3481.685
2004 01 01 03 00 00 1 3481.704
2004 01 01 03 15 00 1 3481.710
2004 01 01 03 30 00 1 3481.723
2004 01 01 03 45 00 1 3481.716
2004 01 01 04 00 00 1 3481.711
2004 01 01 04 15 00 1 9999.000
2004 01 01 04 30 00 1 9999.000
2004 01 01 04 45 00 1 9999.000
2004 01 01 05 00 00 1 9999.000
2004 01 01 05 15 00 1 3481.598
2004 01 01 05 30 00 1 3481.574
2004 01 01 05 45 00 1 3481.534
2004 01 01 06 00 00 1 3481.497
2004 01 01 06 15 00 1 3481.460
2004 01 01 06 30 00 1 3481.424
2004 01 01 06 45 00 1 3481.386
2004 01 01 07 00 00 1 3481.355
2004 01 01 07 15 00 1 3481.320
2004 01 01 07 30 00 1 3481.293
2004 01 01 07 45 00 1 3481.270
2004 01 01 08 00 00 1 3481.250
2004 01 01 08 15 00 1 3481.238
2004 01 01 08 30 00 1 3481.223
2004 01 01 08 45 00 1 3481.218
2004 01 01 09 00 00 1 3481.228
2004 01 01 09 15 00 1 3481.242
2004 01 01 09 30 00 1 3481.255
2004 01 01 09 45 00 1 3481.281
2004 01 01 10 00 00 1 3481.319
2004 01 01 10 15 00 1 3481.351
2004 01 01 10 30 00 1 3481.397
2004 01 01 10 45 00 1 3481.450
2004 01 01 11 00 00 1 3481.499
2004 01 01 11 15 00 1 3481.562
2004 01 01 11 30 00 1 3481.620
2004 01 01 11 45 00 1 3481.687
2004 01 01 12 00 00 1 3481.748
2004 01 01 12 15 00 1 3481.818
2004 01 01 12 30 00 1 3481.887
2004 01 01 12 45 00 1 3481.946
2004 01 01 13 00 00 1 3482.012
2004 01 01 13 15 00 1 3482.072
2004 01 01 13 30 00 1 3482.130
2004 01 01 13 45 00 1 3482.182
2004 01 01 14 00 00 1 3482.233
2004 01 01 14 15 00 1 3482.274
2004 01 01 14 30 00 1 3482.310
2004 01 01 14 45 00 1 3482.344
2004 01 01 15 00 00 1 3482.363
2004 01 01 15 15 00 1 3482.380
2004 01 01 15 30 00 1 3482.384
2004 01 01 15 45 00 1 3482.383
2004 01 01 16 00 00 1 3482.371
2004 01 01 16 15 00 1 3482.354
2004 01 01 16 30 00 1 3482.324
2004 01 01 16 45 00 1 3482.290
2004 01 01 17 00 00 1 3482.245
2004 01 01 17 15 00 1 3482.195
2004 01 01 17 30 00 1 3482.142
2004 01 01 17 45 00 1 3482.070
2004 01 01 18 00 00 1 3482.006
2004 01 01 18 15 00 1 3481.928
2004 01 01 18 30 00 1 3481.848
2004 01 01 18 45 00 1 3481.771
2004 01 01 19 00 00 1 3481.694
2004 01 01 19 15 00 1 3481.609
2004 01 01 19 30 00 1 3481.526
2004 01 01 19 45 00 1 3481.445
2004 01 01 20 00 00 1 3481.369
2004 01 01 20 15 00 1 3481.298
2004 01 01 20 30 00 1 3481.222
2004 01 01 20 45 00 1 3481.162
2004 01 01 21 00 00 1 3481.100
2004 01 01 21 15 00 1 3481.045
2004 01 01 21 30 00 1 3481.001
2004 01 01 21 45 00 1 3480.965
2004 01 01 22 00 00 1 3480.933
2004 01 01 22 15 00 1 3480.916
2004 01 01 22 30 00 1 3480.903
2004 01 01 22 45 00 1 3480.898
2004 01 01 23 00 00 1 3480.905
2004 01 01 23 15 00 1 3480.918
2004 01 01 23 30 00 1 3480.942
2004 01 01 23 45 00 1 3480.965
2004 01 02 00 00 00 1 3480.997
2004 01 02 00 15 00 1 3481.038
2004 01 02 00 30 00 1 3481.077
2004 01 02 00 45 00 1 3481.121
2004 01 02 01 00 00 1 3481.173
2004 01 02 01 15 00 1 3481.221
2004 01 02 01 30 00 1 3481.274
2004 01 02 01 45 00 1 3481.327
2004 01 02 02 00 00 1 3481.379
2004 01 02 02 15 00 1 3481.426
2004 01 02 02 30 00 1 3481.477
2004 01 02 02 45 00 1 3481.519
2004 01 02 03 00 00 1 3481.557
2004 01 02 03 15 00 1 3481.598
2004 01 02 03 30 00 1 3481.632
2004 01 02 03 45 00 1 3481.662
2004 01 02 04 00 00 1 3481.689
2004 01 02 04 15 00 1 3481.709
2004 01 02 04 30 00 1 3481.721
2004 01 02 04 45 00 1 3481.734
2004 01 02 05 00 00 1 3481.738
2004 01 02 05 15 00 1 3481.734
